Dates ;LFP_P2_5 microg/m3 
01/01/2015 01:00;28
01/01/2015 02:00;23
01/01/2015 03:00;17
01/01/2015 04:00;21
01/01/2015 05:00;21
01/01/2015 06:00;23
01/01/2015 07:00;22
01/01/2015 08:00;15
01/01/2015 09:00;13
01/01/2015 10:00;13
01/01/2015 11:00;15
01/01/2015 12:00;18
01/01/2015 13:00;16
01/01/2015 14:00;15
01/01/2015 15:00;22
01/01/2015 16:00;16
01/01/2015 17:00;15
01/01/2015 18:00;17
01/01/2015 19:00;17
01/01/2015 20:00;19
01/01/2015 21:00;19
01/01/2015 22:00;15
01/01/2015 23:00;16
02/01/2015 00:00;19
02/01/2015 01:00;18
02/01/2015 02:00;15
02/01/2015 03:00;19
02/01/2015 04:00;20
02/01/2015 05:00;12
02/01/2015 06:00;8
02/01/2015 07:00;10
02/01/2015 08:00;4
02/01/2015 09:00;4
02/01/2015 10:00;9
02/01/2015 11:00;6
02/01/2015 12:00;14
02/01/2015 13:00;14
02/01/2015 14:00;10
02/01/2015 15:00;7
02/01/2015 16:00;9
02/01/2015 17:00;25
02/01/2015 18:00;37
02/01/2015 19:00;31
02/01/2015 20:00;26
02/01/2015 21:00;31
02/01/2015 22:00;14
02/01/2015 23:00;27
03/01/2015 00:00;11
03/01/2015 01:00;15
03/01/2015 02:00;20
03/01/2015 03:00;20
03/01/2015 04:00;16
03/01/2015 05:00;14
03/01/2015 06:00;10
03/01/2015 07:00;7
03/01/2015 08:00;8
03/01/2015 09:00;9
03/01/2015 10:00;9
03/01/2015 11:00;9
03/01/2015 12:00;2
03/01/2015 13:00;2
03/01/2015 14:00;9
03/01/2015 15:00;5
03/01/2015 16:00;8
03/01/2015 17:00;11
03/01/2015 18:00;7
03/01/2015 19:00;9
03/01/2015 20:00;8
03/01/2015 21:00;9
03/01/2015 22:00;14
03/01/2015 23:00;16
04/01/2015 00:00;4
04/01/2015 01:00;5
04/01/2015 02:00;2
04/01/2015 03:00;4
04/01/2015 04:00;7
04/01/2015 05:00;4
04/01/2015 06:00;1
04/01/2015 07:00;4
04/01/2015 08:00;7
04/01/2015 09:00;13
04/01/2015 10:00;14
04/01/2015 11:00;18
04/01/2015 12:00;13
04/01/2015 13:00;9
04/01/2015 14:00;5
04/01/2015 15:00;4
04/01/2015 16:00;8
04/01/2015 17:00;8
04/01/2015 18:00;10
04/01/2015 19:00;13
04/01/2015 20:00;12
04/01/2015 21:00;13
04/01/2015 22:00;15
04/01/2015 23:00;9
05/01/2015 00:00;6
05/01/2015 01:00;8
05/01/2015 02:00;8
05/01/2015 03:00;11
05/01/2015 04:00;11
05/01/2015 05:00;9
05/01/2015 06:00;9
05/01/2015 07:00;12
05/01/2015 08:00;14
05/01/2015 09:00;12
05/01/2015 10:00;13
05/01/2015 11:00;11
05/01/2015 12:00;13
05/01/2015 13:00;12
05/01/2015 14:00;10
05/01/2015 15:00;17
05/01/2015 16:00;26
05/01/2015 17:00;23
05/01/2015 18:00;25
05/01/2015 19:00;24
05/01/2015 20:00;27
05/01/2015 21:00;22
05/01/2015 22:00;12
05/01/2015 23:00;5
06/01/2015 00:00;7
06/01/2015 01:00;11
06/01/2015 02:00;3
06/01/2015 03:00;2
06/01/2015 04:00;1
06/01/2015 05:00;5
06/01/2015 06:00;9
06/01/2015 07:00;7
06/01/2015 08:00;8
06/01/2015 09:00;9
06/01/2015 10:00;12
06/01/2015 11:00;17
06/01/2015 12:00;24
06/01/2015 13:00;14
06/01/2015 14:00;14
06/01/2015 15:00;
06/01/2015 16:00;
06/01/2015 17:00;15
06/01/2015 18:00;31
06/01/2015 19:00;28
06/01/2015 20:00;17
06/01/2015 21:00;17
06/01/2015 22:00;10
06/01/2015 23:00;3
07/01/2015 00:00;9
07/01/2015 01:00;8
07/01/2015 02:00;12
07/01/2015 03:00;10
07/01/2015 04:00;21
07/01/2015 05:00;19
07/01/2015 06:00;18
07/01/2015 07:00;19
07/01/2015 08:00;25
07/01/2015 09:00;31
07/01/2015 10:00;31
07/01/2015 11:00;22
07/01/2015 12:00;15
07/01/2015 13:00;13
07/01/2015 14:00;11
07/01/2015 15:00;6
07/01/2015 16:00;9
07/01/2015 17:00;11
07/01/2015 18:00;15
07/01/2015 19:00;12
07/01/2015 20:00;13
07/01/2015 21:00;11
07/01/2015 22:00;13
07/01/2015 23:00;12
08/01/2015 00:00;11
08/01/2015 01:00;6
08/01/2015 02:00;9
08/01/2015 03:00;2
08/01/2015 04:00;4
08/01/2015 05:00;4
08/01/2015 06:00;5
08/01/2015 07:00;4
08/01/2015 08:00;7
08/01/2015 09:00;2
08/01/2015 10:00;4
08/01/2015 11:00;
